X,Y,OBJECTID,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Recovered,Deaths,Active,Admin2,FIPS,Combined_Key
113.614,33.8820000000001,124,Henan,China,2022/04/30 11:21:00+00,33.882,113.614,2902,0,22,0,,,"Henan, China"
114.2,22.3000000000001,125,Hong Kong,China,2022/04/30 11:21:00+00,22.3,114.2,1203847,0,9298,0,,,"Hong Kong, China"
112.2707,30.9756,126,Hubei,China,2022/04/30 11:21:00+00,30.9756,112.2707,68398,0,4512,0,,,"Hubei, China"
111.7088,27.6104,127,Hunan,China,2022/04/30 11:21:00+00,27.6104,111.7088,1383,0,4,0,,,"Hunan, China"
113.9448,44.0935000000001,128,Inner Mongolia,China,2022/04/30 11:21:00+00,44.0935,113.9448,1748,0,1,0,,,"Inner Mongolia, China"
119.455,32.9711,129,Jiangsu,China,2022/04/30 11:21:00+00,32.9711,119.455,2200,0,0,0,,,"Jiangsu, China"
115.7221,27.614,130,Jiangxi,China,2022/04/30 11:21:00+00,27.614,115.7221,1364,0,1,0,,,"Jiangxi, China"
126.1923,43.6661,131,Jilin,China,2022/04/30 11:21:00+00,43.6661,126.1923,40195,0,5,0,,,"Jilin, China"
122.6085,41.2956,132,Liaoning,China,2022/04/30 11:21:00+00,41.2956,122.6085,1645,0,2,0,,,"Liaoning, China"
113.55,22.1667,133,Macau,China,2022/04/30 11:21:00+00,22.1667,113.55,82,0,0,0,,,"Macau, China"
106.1655,37.2692000000001,134,Ningxia,China,2022/04/30 11:21:00+00,37.2692,106.1655,122,0,0,0,,,"Ningxia, China"
95.9956000000001,35.7452000000001,135,Qinghai,China,2022/04/30 11:21:00+00,35.7452,95.9956,95,0,0,0,,,"Qinghai, China"
108.8701,35.1917,136,Shaanxi,China,2022/04/30 11:21:00+00,35.1917,108.8701,3277,0,3,0,,,"Shaanxi, China"
118.1498,36.3427,137,Shandong,China,2022/04/30 11:21:00+00,36.3427,118.1498,2711,0,7,0,,,"Shandong, China"
